[1, 900] | loss: 4.3966 | contrastive: 3.7883 | asl: 0.6084
[1, 905] | loss: 4.4231 | contrastive: 3.8118 | asl: 0.6114
[1, 910] | loss: 4.3790 | contrastive: 3.7770 | asl: 0.6020
[1, 915] | loss: 4.4706 | contrastive: 3.8116 | asl: 0.6590
[1, 920] | loss: 4.4929 | contrastive: 3.8321 | asl: 0.6608
[1, 925] | loss: 4.4377 | contrastive: 3.8102 | asl: 0.6276
[1, 930] | loss: 4.4379 | contrastive: 3.7862 | asl: 0.6517
[1, 935] | loss: 4.4179 | contrastive: 3.7848 | asl: 0.6331
[1, 940] | loss: 4.4433 | contrastive: 3.8038 | asl: 0.6394
[1, 945] | loss: 4.4200 | contrastive: 3.7877 | asl: 0.6323
[1, 950] | loss: 4.4402 | contrastive: 3.7983 | asl: 0.6419
[1, 955] | loss: 4.4664 | contrastive: 3.8070 | asl: 0.6595
[1, 960] | loss: 4.4719 | contrastive: 3.8185 | asl: 0.6534
[1, 965] | loss: 4.4527 | contrastive: 3.7984 | asl: 0.6542
[1, 970] | loss: 4.4551 | contrastive: 3.8141 | asl: 0.6410
[1, 975] | loss: 4.4389 | contrastive: 3.7947 | asl: 0.6441
[1, 980] | loss: 4.4666 | contrastive: 3.7975 | asl: 0.6692
[1, 985] | loss: 4.4587 | contrastive: 3.8216 | asl: 0.6371
[1, 990] | loss: 4.4599 | contrastive: 3.7945 | asl: 0.6653
[1, 995] | loss: 4.4593 | contrastive: 3.8059 | asl: 0.6534
[1, 1000] | loss: 4.4411 | contrastive: 3.8286 | asl: 0.6125
[1, 1005] | loss: 4.4876 | contrastive: 3.8246 | asl: 0.6629
[1, 1010] | loss: 4.3949 | contrastive: 3.7882 | asl: 0.6066
[1, 1015] | loss: 4.4048 | contrastive: 3.7808 | asl: 0.6240
[1, 1020] | loss: 4.4775 | contrastive: 3.8245 | asl: 0.6530
[1, 1025] | loss: 4.4070 | contrastive: 3.7844 | asl: 0.6226
[1, 1030] | loss: 4.3978 | contrastive: 3.7870 | asl: 0.6107
[1, 1035] | loss: 4.4853 | contrastive: 3.8216 | asl: 0.6637
[1, 1040] | loss: 4.4231 | contrastive: 3.7936 | asl: 0.6294
[1, 1045] | loss: 4.5238 | contrastive: 3.8213 | asl: 0.7025
[1, 1050] | loss: 4.4353 | contrastive: 3.8010 | asl: 0.6343
[1, 1055] | loss: 4.4468 | contrastive: 3.8231 | asl: 0.6237
[1, 1060] | loss: 4.4575 | contrastive: 3.8046 | asl: 0.6529
[1, 1065] | loss: 4.4147 | contrastive: 3.8131 | asl: 0.6017
[1, 1070] | loss: 4.4717 | contrastive: 3.8140 | asl: 0.6577

============================================================
Training epoch 2/20...
============================================================
[2, 5] | loss: 4.4374 | contrastive: 3.8077 | asl: 0.6297
[2, 10] | loss: 4.3907 | contrastive: 3.7803 | asl: 0.6104
[2, 15] | loss: 4.3645 | contrastive: 3.7648 | asl: 0.5997
[2, 20] | loss: 4.4461 | contrastive: 3.7964 | asl: 0.6497
[2, 25] | loss: 4.4231 | contrastive: 3.7924 | asl: 0.6306
[2, 30] | loss: 4.4425 | contrastive: 3.8275 | asl: 0.6151
[2, 35] | loss: 4.4278 | contrastive: 3.7860 | asl: 0.6418
[2, 40] | loss: 4.4102 | contrastive: 3.7989 | asl: 0.6113
[2, 45] | loss: 4.4070 | contrastive: 3.7882 | asl: 0.6188
[2, 50] | loss: 4.4582 | contrastive: 3.8068 | asl: 0.6514
[2, 55] | loss: 4.4217 | contrastive: 3.8000 | asl: 0.6217
[2, 60] | loss: 4.4379 | contrastive: 3.8098 | asl: 0.6281
[2, 65] | loss: 4.4355 | contrastive: 3.8043 | asl: 0.6311
[2, 70] | loss: 4.4340 | contrastive: 3.7893 | asl: 0.6447
[2, 75] | loss: 4.4578 | contrastive: 3.8116 | asl: 0.6463
[2, 80] | loss: 4.4654 | contrastive: 3.8050 | asl: 0.6603
[2, 85] | loss: 4.4305 | contrastive: 3.8099 | asl: 0.6206
[2, 90] | loss: 4.4017 | contrastive: 3.7807 | asl: 0.6210
